GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMP3E001,AMP3E002,AMP3E003,AMP3E004,AMP3E005,AMP3E006,AMP3E007,AMP3E008,AMP3E009,AMP3E010,AMP3E011,AMP3E012,AMP3E013,AMP3E014,AMP3E015,AMP3E016,AMP3E017,AMP3E018,AMP3E019,AMP3E020,AMP3E021,AMR8E001,NAME_M,AMP3M001,AMP3M002,AMP3M003,AMP3M004,AMP3M005,AMP3M006,AMP3M007,AMP3M008,AMP3M009,AMP3M010,AMP3M011,AMP3M012,AMP3M013,AMP3M014,AMP3M015,AMP3M016,AMP3M017,AMP3M018,AMP3M019,AMP3M020,AMP3M021,AMR8M001
"G7200210","2016-2020","PR",,,"Puerto Rico","72","Bayamón Municipio","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72021",,,"Bayamón Municipio, Puerto Rico",173695,2062,1300,249,0,219,0,85,209,7,202,171633,107657,14301,177,104,0,19104,30290,9812,20478,26853,"Bayamón Municipio, Puerto Rico",,477,387,90,34,155,34,110,118,10,118,477,2203,1223,89,93,34,1563,1823,1219,1478,924
"G7200230","2016-2020","PR",,,"Puerto Rico","72","Cabo Rojo Municipio","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72023",,,"Cabo Rojo Municipio, Puerto Rico",47977,286,147,32,0,57,0,0,50,34,16,47691,11686,787,110,72,0,31688,3348,1115,2233,17261,"Cabo Rojo Municipio, Puerto Rico",,157,121,51,30,70,30,30,62,56,27,157,1263,313,118,111,30,1530,793,402,649,1113
"G7200250","2016-2020","PR",,,"Puerto Rico","72","Caguas Municipio","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72025",,,"Caguas Municipio, Puerto Rico",126734,2295,1679,126,0,20,0,380,90,0,90,124439,88591,10233,325,372,0,17770,7148,4582,2566,25823,"Caguas Municipio, Puerto Rico",,455,382,97,34,24,34,206,76,34,76,455,2185,1151,229,272,34,1937,1082,877,781,1321
"G7200270","2016-2020","PR",,,"Puerto Rico","72","Camuy Municipio","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72027",,,"Camuy Municipio, Puerto Rico",31066,219,218,1,0,0,0,0,0,0,0,30847,27939,470,0,0,0,1895,543,415,128,18571,"Camuy Municipio, Puerto Rico",,113,113,3,30,30,30,30,30,30,30,113,612,230,30,30,30,574,231,209,121,1593
"G7200290","2016-2020","PR",,,"Puerto Rico","72","Canóvanas Municipio","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72029",,,"Canóvanas Municipio, Puerto Rico",45120,114,37,16,0,42,0,19,0,0,0,45006,19797,5822,25,289,0,17580,1493,1188,305,21614,"Canóvanas Municipio, Puerto Rico",,86,43,19,30,66,30,30,30,30,30,86,1304,1042,41,220,30,1215,578,484,226,1263
"G7200310","2016-2020","PR",,,"Puerto Rico","72","Carolina Municipio","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72031",,,"Carolina Municipio, Puerto Rico",150378,2095,1297,273,0,265,0,134,126,47,79,148283,72691,28353,1773,148,0,31778,13540,6509,7031,29398,"Carolina Municipio, Puerto Rico",,733,660,162,34,269,34,134,103,56,87,733,2281,1808,542,100,34,1834,1414,930,1040,1066
"G7200330","2016-2020","PR",,,"Puerto Rico","72","Cataño Municipio","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72033",,,"Cataño Municipio, Puerto Rico",23698,275,258,0,0,0,0,0,17,0,17,23423,14873,2889,8,43,0,2409,3201,2211,990,18647,"Cataño Municipio, Puerto Rico",,100,95,27,27,27,27,27,27,27,27,100,751,447,13,64,27,536,573,477,324,1736
"G7200350","2016-2020","PR",,,"Puerto Rico","72","Cayey Municipio","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72035",,,"Cayey Municipio, Puerto Rico",43126,199,68,0,0,100,0,1,30,0,30,42927,23632,3121,28,0,0,2733,13413,480,12933,23104,"Cayey Municipio, Puerto Rico",,182,57,30,30,162,30,3,48,30,48,182,1289,689,43,30,30,643,1363,181,1352,1312
"G7200370","2016-2020","PR",,,"Puerto Rico","72","Ceiba Municipio","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72037",,,"Ceiba Municipio, Puerto Rico",11207,224,166,12,0,46,0,0,0,0,0,10983,5557,742,61,20,0,3835,768,393,375,19092,"Ceiba Municipio, Puerto Rico",,132,110,18,23,72,23,23,23,23,23,132,658,282,77,31,23,680,288,221,213,2032
"G7200390","2016-2020","PR",,,"Puerto Rico","72","Ciales Municipio","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72039",,,"Ciales Municipio, Puerto Rico",16188,120,120,0,0,0,0,0,0,0,0,16068,13493,242,149,13,0,613,1558,817,741,17783,"Ciales Municipio, Puerto Rico",,68,68,23,23,23,23,23,23,23,23,68,606,139,176,22,23,276,487,369,306,1856
"G7200410","2016-2020","PR",,,"Puerto Rico","72","Cidra Municipio","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72041",,,"Cidra Municipio, Puerto Rico",38977,210,138,72,0,0,0,0,0,0,0,38767,23955,4140,82,0,0,3396,7194,662,6532,20664,"Cidra Municipio, Puerto Rico",,130,94,95,30,30,30,30,30,30,30,130,1328,715,80,30,30,782,1267,348,1255,1517
"G7200430","2016-2020","PR",,,"Puerto Rico","72","Coamo Municipio","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72043",,,"Coamo Municipio, Puerto Rico",38603,283,272,11,0,0,0,0,0,0,0,38320,22020,10617,0,0,0,1254,4429,4346,83,18319,"Coamo Municipio, Puerto Rico",,240,239,17,30,30,30,30,30,30,30,240,1301,1104,30,30,30,419,959,964,59,2281
"G7200450","2016-2020","PR",,,"Puerto Rico","72","Comerío Municipio","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72045",,,"Comerío Municipio, Puerto Rico",18942,80,80,0,0,0,0,0,0,0,0,18862,14279,1912,11,0,0,685,1975,1811,164,14297,"Comerío Municipio, Puerto Rico",,69,69,23,23,23,23,23,23,23,23,69,874,520,18,23,23,410,730,687,220,1529
"G7200470","2016-2020","PR",,,"Puerto Rico","72","Corozal Municipio","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72047",,,"Corozal Municipio, Puerto Rico",32928,417,384,0,0,0,0,20,13,0,13,32511,23690,2422,0,0,0,2991,3408,1502,1906,16933,"Corozal Municipio, Puerto Rico",,382,379,30,30,30,30,31,20,30,20,382,1298,687,30,30,30,772,995,584,809,1744
"G7200490","2016-2020","PR",,,"Puerto Rico","72","Culebra Municipio","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72049",,,"Culebra Municipio, Puerto Rico",1371,111,99,0,0,12,0,0,0,0,0,1260,584,49,0,16,0,558,53,0,53,25658,"Culebra Municipio, Puerto Rico",282,48,45,14,14,18,14,14,14,14,14,271,177,30,14,23,14,209,57,14,57,7233
"G7200510","2016-2020","PR",,,"Puerto Rico","72","Dorado Municipio","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72051",,,"Dorado Municipio, Puerto Rico",36475,1067,1027,0,0,40,0,0,0,0,0,35408,23586,4217,0,12,0,2183,5410,3300,2110,29852,"Dorado Municipio, Puerto Rico",,429,398,30,30,61,30,30,30,30,30,429,1209,817,30,19,30,753,901,814,605,3727
"G7200530","2016-2020","PR",,,"Puerto Rico","72","Fajardo Municipio","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72053",,,"Fajardo Municipio, Puerto Rico",30263,311,102,68,0,81,0,0,60,0,60,29952,14949,3096,16,57,0,9065,2769,2065,704,19957,"Fajardo Municipio, Puerto Rico",,137,106,69,30,61,30,30,72,30,72,137,1065,660,26,56,30,929,595,558,282,1597
"G7200540","2016-2020","PR",,,"Puerto Rico","72","Florida Municipio","054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72054",,,"Florida Municipio, Puerto Rico",11513,148,148,0,0,0,0,0,0,0,0,11365,8254,265,0,110,0,1720,1016,939,77,20221,"Florida Municipio, Puerto Rico",,138,138,23,23,23,23,23,23,23,23,138,684,241,23,173,23,529,399,391,81,3631
"G7200550","2016-2020","PR",,,"Puerto Rico","72","Guánica Municipio","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72055",,,"Guánica Municipio, Puerto Rico",15825,196,129,0,0,0,0,67,0,0,0,15629,8190,854,23,0,0,6064,498,461,37,12283,"Guánica Municipio, Puerto Rico",,175,161,23,23,23,23,60,23,23,23,175,782,367,36,23,23,755,167,160,40,1392
"G7200570","2016-2020","PR",,,"Puerto Rico","72","Guayama Municipio","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72057",,,"Guayama Municipio, Puerto Rico",40198,412,296,89,0,0,0,27,0,0,0,39786,27389,6150,0,58,141,3100,2948,2031,917,17319,"Guayama Municipio, Puerto Rico",,251,227,61,30,30,30,45,30,30,30,251,1301,913,30,61,225,735,740,556,510,1546
"G7200590","2016-2020","PR",,,"Puerto Rico","72","Guayanilla Municipio","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72059",,,"Guayanilla Municipio, Puerto Rico",18080,66,47,0,0,18,0,1,0,0,0,18014,13822,284,0,109,0,3378,421,394,27,17796,"Guayanilla Municipio, Puerto Rico",,48,39,23,23,27,23,4,23,23,23,48,708,131,23,128,23,618,201,197,26,2054
"G7200610","2016-2020","PR",,,"Puerto Rico","72","Guaynabo Municipio","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72061",,,"Guaynabo Municipio, Puerto Rico",85312,1415,1123,96,0,45,0,37,114,61,53,83897,55186,5818,172,19,0,11794,10908,7848,3060,36073,"Guaynabo Municipio, Puerto Rico",,561,500,118,34,37,34,42,99,69,60,561,1731,855,140,30,34,1278,1019,1037,603,1719
"G7200630","2016-2020","PR",,,"Puerto Rico","72","Gurabo Municipio","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72063",,,"Gurabo Municipio, Puerto Rico",46948,1401,780,238,0,37,0,289,57,0,57,45547,26572,5581,50,35,0,10813,2496,1946,550,35367,"Gurabo Municipio, Puerto Rico",,391,271,179,30,46,30,175,94,30,94,391,1601,1281,49,40,30,1541,1024,943,412,3249
"G7200650","2016-2020","PR",,,"Puerto Rico","72","Hatillo Municipio","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72065",,,"Hatillo Municipio, Puerto Rico",39561,166,90,37,0,0,0,39,0,0,0,39395,36130,525,0,25,0,1660,1055,1028,27,18998,"Hatillo Municipio, Puerto Rico",,143,81,57,30,30,30,62,30,30,30,143,828,316,30,33,30,725,373,375,44,1487
